N,P,K,temperature,humidity,ph,rainfall,label
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice
78,43,42,21.32376327,83.00320459,7.283736617000001,192.3197536,rice
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice
67,43,39,26.04371967,84.96907151,5.9999690260000005,186.7536773,rice
84,50,44,25.48591986,81.40633547,5.9353444060000005,182.6549356,rice
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice
71,54,16,22.61359953,63.69070564,5.7499144210000015,87.75953857,maize
61,44,17,26.10018422,71.57476937,6.931756557999999,102.2662445,maize
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize
89,60,19,25.19192419,66.69029010000001,5.913664501,78.06639649,maize
76,44,17,20.41683147,62.55424820000001,5.855442401,65.27798457,maize
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,maize
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,maize
90,49,21,24.84016732,68.3584573,6.4725232870000005,74.05474936,maize
62,52,16,22.27526694,58.84015925,6.9670577620000005,63.87020584,maize
66,54,21,25.19008683,60.200168700000006,5.919045532,72.12375573,maize
70,47,17,24.612911800000006,70.4162444,6.600827017,104.1626147,maize
61,41,17,25.1420613,65.26185135,6.021902237000001,76.68456006,maize
66,53,19,23.09348056,60.11593810000001,6.033550195,65.49730729,maize
77,57,21,24.9321581,73.80435276,6.550563822999999,79.74078719,maize
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,maize
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,maize
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,maize
87,54,20,25.61707368,63.4711755,6.576418207000001,108.8303762,maize
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,maize
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,maize
64,35,23,23.02038334,61.89472002,5.680361037999999,63.03843397,maize
60,46,22,24.89364635,65.61418761,6.625404347999999,87.9298085,maize
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,maize
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,maize
98,35,18,23.79746068,74.82913698,6.252797547999999,91.76337172,maize
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,maize
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,maize
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,maize
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,maize
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,maize
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,maize
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,maize
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,maize
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize
99,36,20,20.57981887,65.34583901,6.671085817000001,78.34604471,maize
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,maize
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,maize
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,maize
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,maize
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,maize
